instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
SongToalForretal0.40 kriging 5 0 1 1 0.1082 0.3219 0.8730 0.8090 0.7510 0.6970 0.6360 0.5730 0.4990 0.3960 0.1560 0.1280 0.1020 0.3267 0.5500 0.201351
SongToalForretal0.40 kriging 5 0 2 1 0.1079 0.3218 0.8740 0.8090 0.7520 0.6960 0.6380 0.5740 0.5010 0.3950 0.1560 0.1280 0.1030 0.3267 0.5500 0.192223
SongToalForretal0.40 kriging 5 0 3 1 0.1080 0.3218 0.8740 0.8100 0.7540 0.6960 0.6380 0.5740 0.4980 0.3980 0.1570 0.1280 0.1020 0.3267 0.5501 0.067890
SongToalForretal0.40 kriging 5 0 4 1 0.1080 0.3219 0.8750 0.8110 0.7520 0.6970 0.6390 0.5740 0.5000 0.3980 0.1560 0.1280 0.1030 0.3266 0.5499 0.070807
SongToalForretal0.40 kriging 5 0 5 1 0.1080 0.3220 0.8730 0.8110 0.7520 0.6940 0.6380 0.5730 0.4980 0.3970 0.1560 0.1280 0.1030 0.3267 0.5501 0.205552
SongToalForretal0.40 kriging 5 0 6 1 0.1080 0.3220 0.8730 0.8110 0.7530 0.6970 0.6380 0.5720 0.4980 0.3980 0.1560 0.1280 0.1020 0.3266 0.5499 0.229133
SongToalForretal0.40 kriging 5 0 7 1 0.1081 0.3220 0.8720 0.8110 0.7510 0.6980 0.6360 0.5730 0.5000 0.3970 0.1560 0.1280 0.1030 0.3267 0.5500 0.084897
SongToalForretal0.40 kriging 5 0 8 1 0.1082 0.3220 0.8740 0.8090 0.7520 0.6970 0.6380 0.5740 0.4980 0.3950 0.1560 0.1280 0.1020 0.3268 0.5503 0.103441
SongToalForretal0.40 kriging 5 0 9 1 0.1079 0.3218 0.8730 0.8090 0.7530 0.6960 0.6380 0.5740 0.4970 0.3980 0.1560 0.1280 0.1020 0.3266 0.5499 0.185938
SongToalForretal0.40 kriging 5 0 10 1 0.1080 0.3218 0.8730 0.8110 0.7540 0.6960 0.6370 0.5730 0.5000 0.3950 0.1560 0.1280 0.1030 0.3268 0.5501 0.229249
SongToalForretal0.40 kriging 5 0 11 1 0.1079 0.3217 0.8740 0.8110 0.7540 0.6960 0.6380 0.5730 0.4980 0.3960 0.1560 0.1280 0.1020 0.3268 0.5502 0.189393
SongToalForretal0.40 kriging 5 0 12 1 0.1080 0.3220 0.8720 0.8080 0.7530 0.6950 0.6380 0.5760 0.4990 0.3970 0.1560 0.1280 0.1020 0.3268 0.5503 0.205948
SongToalForretal0.40 kriging 5 0 13 1 0.1081 0.3218 0.8760 0.8100 0.7530 0.6960 0.6390 0.5740 0.4990 0.3990 0.1560 0.1280 0.1020 0.3267 0.5499 0.207746
SongToalForretal0.40 kriging 5 0 14 1 0.1081 0.3219 0.8740 0.8110 0.7520 0.6960 0.6390 0.5720 0.4980 0.3960 0.1560 0.1280 0.1030 0.3267 0.5500 0.203840
SongToalForretal0.40 kriging 5 0 15 1 0.1079 0.3218 0.8750 0.8110 0.7520 0.6960 0.6370 0.5730 0.4980 0.3970 0.1560 0.1280 0.1020 0.3267 0.5501 0.184463
SongToalForretal0.40 kriging 5 0 16 1 0.1079 0.3220 0.8730 0.8080 0.7540 0.6950 0.6380 0.5730 0.5000 0.3960 0.1560 0.1280 0.1020 0.3267 0.5500 0.283760
SongToalForretal0.40 kriging 5 0 17 1 0.1080 0.3219 0.8750 0.8110 0.7520 0.6950 0.6370 0.5730 0.4970 0.3960 0.1560 0.1280 0.1030 0.3266 0.5498 0.111971
SongToalForretal0.40 kriging 5 0 18 1 0.1080 0.3220 0.8740 0.8100 0.7510 0.6980 0.6380 0.5750 0.4990 0.3970 0.1560 0.1280 0.1020 0.3266 0.5498 0.165280
SongToalForretal0.40 kriging 5 0 19 1 0.1080 0.3217 0.8730 0.8100 0.7540 0.6950 0.6380 0.5740 0.4980 0.3960 0.1560 0.1280 0.1020 0.3268 0.5504 0.137540
SongToalForretal0.40 kriging 5 0 20 1 0.1080 0.3217 0.8740 0.8110 0.7530 0.6960 0.6380 0.5750 0.4980 0.3970 0.1570 0.1280 0.1020 0.3267 0.5500 0.136303
