instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq10-amp0.1 kriging 0 0 1 5 0.9997 0.0023 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0005 0.0005 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq10-amp0.1 kriging 0 0 1 5 0.9569 0.0357 0.9998 0.9968 0.9866 0.9588 0.8860 0.7810 0.6726 0.5360 0.3334 0.1776 0.0928 0.1893 0.2465 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq100-amp0.1 kriging 0 0 1 5 0.9997 0.0021 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9998 0.0007 0.0007 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq100-amp0.1 kriging 0 0 1 5 0.9397 0.0386 0.9994 0.9932 0.9628 0.8856 0.7802 0.6784 0.5738 0.4390 0.2430 0.1204 0.0656 0.2175 0.3077 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq10-amp0.5 kriging 0 0 1 5 0.9941 0.0118 1.0000 1.0000 1.0000 0.9998 0.9998 0.9996 0.9996 0.9986 0.9950 0.9880 0.9774 0.0177 0.0177 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq10-amp0.5 kriging 0 0 1 5 0.5043 0.1787 0.6790 0.4696 0.3264 0.2340 0.1634 0.1134 0.0730 0.0412 0.0080 0.0010 0.0000 0.2317 0.8961 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq100-amp0.5 kriging 0 0 1 5 0.9949 0.0108 1.0000 1.0000 1.0000 1.0000 0.9998 0.9998 0.9994 0.9984 0.9954 0.9898 0.9804 0.0156 0.0156 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq100-amp0.5 kriging 0 0 1 5 0.3706 0.1933 0.5368 0.3238 0.1974 0.1282 0.0874 0.0614 0.0366 0.0136 0.0012 0.0000 0.0000 0.1937 1.0622 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq10-amp1 kriging 0 0 1 5 0.9761 0.0236 0.9996 0.9992 0.9986 0.9978 0.9964 0.9950 0.9930 0.9878 0.9770 0.9628 0.9502 0.0530 0.0535 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq10-amp1 kriging 0 0 1 5 0.2293 0.3575 0.3726 0.1972 0.1206 0.0762 0.0516 0.0286 0.0114 0.0020 0.0004 0.0000 0.0000 0.1582 1.2566 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq100-amp1 kriging 0 0 1 5 0.9799 0.0216 0.9998 0.9998 0.9994 0.9990 0.9984 0.9970 0.9950 0.9908 0.9810 0.9684 0.9572 0.0414 0.0417 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq100-amp1 kriging 0 0 1 5 0.1201 0.3867 0.1866 0.0844 0.0468 0.0268 0.0128 0.0036 0.0008 0.0002 0.0000 0.0000 0.0000 0.1027 1.4987 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq10-amp1.5 kriging 0 0 1 5 0.9462 0.0354 0.9980 0.9962 0.9946 0.9938 0.9910 0.9876 0.9838 0.9768 0.9612 0.9480 0.9394 0.0841 0.0854 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq10-amp1.5 kriging 0 0 1 5 0.1326 0.5362 0.2392 0.1124 0.0626 0.0376 0.0178 0.0060 0.0020 0.0008 0.0000 0.0000 0.0000 0.1167 1.4421 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq100-amp1.5 kriging 0 0 1 5 0.9556 0.0324 0.9998 0.9988 0.9980 0.9964 0.9944 0.9920 0.9880 0.9808 0.9678 0.9556 0.9446 0.0655 0.0662 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq100-amp1.5 kriging 0 0 1 5 0.0531 0.5801 0.0852 0.0316 0.0130 0.0036 0.0012 0.0002 0.0002 0.0000 0.0000 0.0000 0.0000 0.0606 1.6972 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq10-amp2 kriging 0 0 1 5 0.9054 0.0472 0.9952 0.9938 0.9900 0.9872 0.9844 0.9802 0.9748 0.9642 0.9508 0.9404 0.9340 0.1082 0.1106 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq10-amp2 kriging 0 0 1 5 0.0896 0.7150 0.1704 0.0736 0.0394 0.0162 0.0052 0.0020 0.0010 0.0002 0.0000 0.0000 0.0000 0.0921 1.5454 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.1-freq100-amp2 kriging 0 0 1 5 0.9231 0.0433 0.9988 0.9976 0.9950 0.9928 0.9892 0.9854 0.9798 0.9710 0.9580 0.9470 0.9386 0.0861 0.0876 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.1-freq100-amp2 kriging 0 0 1 5 0.0282 0.7735 0.0434 0.0108 0.0028 0.0006 0.0002 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0401 1.7781 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.15-freq10-amp0.1 kriging 0 0 1 5 0.9995 0.0031 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9998 0.0008 0.0008 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.15-freq10-amp0.1 kriging 0 0 1 5 0.9596 0.0346 0.9998 0.9968 0.9874 0.9652 0.8984 0.7954 0.6848 0.5508 0.3520 0.1938 0.1036 0.1857 0.2392 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.15-freq100-amp0.1 kriging 0 0 1 5 0.9996 0.0029 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9996 0.0011 0.0011 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.15-freq100-amp0.1 kriging 0 0 1 5 0.9433 0.0374 0.9994 0.9940 0.9680 0.8960 0.7918 0.6894 0.5852 0.4552 0.2612 0.1318 0.0714 0.2148 0.2999 nan
COCOfunction11-dim5-seed1-disth1-height0.75-radius0.15-freq10-amp0.5 kriging 0 0 1 5 0.9896 0.0156 1.0000 0.9998 0.9998 0.9998 0.9996 0.9992 0.9984 0.9958 0.9910 0.9784 0.9608 0.0262 0.0263 nan
COCOfunction11-dim5-seed1-disth2-height0.75-radius0.15-freq10-amp0.5 kriging 0 0 1 5 0.5233 0.1730 0.6984 0.4884 0.3464 0.2496 0.1772 0.1240 0.0828 0.0504 0.0146 0.0022 0.0004 0.2392 0.8832 nan
