instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 1 5 0.4440 0.1435 0.8942 0.8560 0.8278 0.8052 0.7848 0.7704 0.7546 0.7348 0.7108 0.6924 0.6760 0.3514 0.4420 0.027037
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 2 5 0.4076 0.1582 0.9050 0.8614 0.8296 0.8014 0.7806 0.7600 0.7372 0.7176 0.6946 0.6766 0.6612 0.3482 0.4410 0.027416
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 3 5 0.4578 0.1569 0.9110 0.8606 0.8318 0.8096 0.7896 0.7676 0.7472 0.7274 0.6954 0.6744 0.6578 0.3430 0.4314 0.046564
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 4 5 0.4647 0.1428 0.9206 0.8680 0.8290 0.8052 0.7848 0.7626 0.7416 0.7202 0.6946 0.6778 0.6668 0.3417 0.4300 0.042216
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 5 5 0.4719 0.1446 0.9210 0.8732 0.8400 0.8170 0.7940 0.7720 0.7538 0.7326 0.7058 0.6870 0.6722 0.3361 0.4185 0.026449
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 6 5 0.5447 0.1413 0.9582 0.9100 0.8670 0.8340 0.8056 0.7818 0.7606 0.7374 0.7114 0.6924 0.6782 0.3115 0.3801 0.032744
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 7 5 0.5003 0.1476 0.9316 0.8738 0.8400 0.8128 0.7944 0.7750 0.7580 0.7370 0.7108 0.6884 0.6706 0.3319 0.4117 0.033406
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 8 5 0.4893 0.1441 0.9218 0.8736 0.8390 0.8140 0.7932 0.7750 0.7536 0.7268 0.7000 0.6810 0.6658 0.3358 0.4189 0.023194
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 9 5 0.4077 0.1565 0.9002 0.8550 0.8278 0.8056 0.7856 0.7678 0.7516 0.7350 0.7126 0.6866 0.6680 0.3489 0.4387 0.032023
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 10 5 0.4396 0.1572 0.9096 0.8650 0.8388 0.8152 0.7928 0.7738 0.7548 0.7364 0.7104 0.6894 0.6758 0.3409 0.4252 0.029708
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 11 5 0.4303 0.1657 0.9004 0.8662 0.8386 0.8148 0.7918 0.7728 0.7528 0.7302 0.7066 0.6856 0.6738 0.3446 0.4315 0.031444
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 12 5 0.3958 0.1616 0.8920 0.8550 0.8320 0.8084 0.7878 0.7664 0.7460 0.7186 0.6938 0.6762 0.6646 0.3502 0.4429 0.029814
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 13 5 0.4507 0.1498 0.9046 0.8614 0.8306 0.8084 0.7946 0.7774 0.7586 0.7364 0.7092 0.6918 0.6760 0.3451 0.4315 0.037267
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 14 5 0.4171 0.1536 0.8966 0.8534 0.8242 0.8020 0.7820 0.7638 0.7484 0.7286 0.7046 0.6876 0.6728 0.3520 0.4446 0.037213
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 15 5 0.5026 0.1485 0.9274 0.8772 0.8408 0.8128 0.7916 0.7696 0.7528 0.7298 0.7020 0.6818 0.6680 0.3346 0.4170 0.037477
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 16 5 0.4369 0.1382 0.9136 0.8584 0.8238 0.8010 0.7808 0.7642 0.7480 0.7320 0.7110 0.6902 0.6766 0.3462 0.4351 0.036084
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 17 5 0.5028 0.1408 0.9444 0.8946 0.8564 0.8312 0.8112 0.7878 0.7658 0.7408 0.7210 0.7042 0.6892 0.3198 0.3907 0.031865
COCOfunction20-dim5-seed1-disth1-height0.5-radius0.1-freq10-amp2 kriging 25 0 18 5 0.4208 0.1550 0.9096 0.8602 0.8302 0.8048 0.7872 0.7702 0.7512 0.7292 0.7002 0.6812 0.6646 0.3444 0.4326 0.036293
